origin,step,model,actual,pred,series
92,4,hgb_lags,92188.55,139241.48015990836,paid
92,1,ensemble,204707.71,146469.03312365344,paid
92,2,ensemble,168651.96,171494.4745185999,paid
92,3,ensemble,53691.69,85187.30084536594,paid
92,4,ensemble,92188.55,157158.1312709811,paid
93,1,naive,168651.96,204707.71,paid
93,2,naive,53691.69,204707.71,paid
93,3,naive,92188.55,204707.71,paid
93,4,naive,104401.98,204707.71,paid
93,1,seasonal_naive,168651.96,151573.55,paid
93,2,seasonal_naive,53691.69,36013.18,paid
93,3,seasonal_naive,92188.55,155142.33,paid
93,4,seasonal_naive,104401.98,202663.31,paid
93,1,moving_avg_4w,168651.96,212846.85,paid
93,2,moving_avg_4w,53691.69,212846.85,paid
93,3,moving_avg_4w,92188.55,212846.85,paid
93,4,moving_avg_4w,104401.98,212846.85,paid
93,1,holt_damped,168651.96,174640.51118413534,paid
93,2,holt_damped,53691.69,175813.57991920746,paid
93,3,holt_damped,92188.55,176974.91796692886,paid
93,4,holt_damped,104401.98,178124.64263417304,paid
93,1,ridge_fourier,168651.96,190598.90526798987,paid
93,2,ridge_fourier,53691.69,137411.99341270403,paid
93,3,ridge_fourier,92188.55,154890.03946229437,paid
93,4,ridge_fourier,104401.98,166492.31844282665,paid
93,1,hgb_lags,168651.96,148065.29849018785,paid
93,2,hgb_lags,53691.69,109605.10311114,paid
93,3,hgb_lags,92188.55,146583.93875689784,paid
93,4,hgb_lags,104401.98,193780.45466526953,paid
93,1,ensemble,168651.96,171086.22763399495,paid
93,2,ensemble,53691.69,86712.58670635201,paid
93,3,ensemble,92188.55,155016.1847311472,paid
93,4,ensemble,104401.98,184577.81422141334,paid
94,1,naive,53691.69,168651.96,paid
94,2,naive,92188.55,168651.96,paid
94,3,naive,104401.98,168651.96,paid
94,4,naive,245840.96,168651.96,paid
94,1,seasonal_naive,53691.69,36013.18,paid
94,2,seasonal_naive,92188.55,155142.33,paid
94,3,seasonal_naive,104401.98,202663.31,paid
94,4,seasonal_naive,245840.96,295158.77,paid
94,1,moving_avg_4w,53691.69,165553.59749999997,paid
94,2,moving_avg_4w,92188.55,165553.59749999997,paid
94,3,moving_avg_4w,104401.98,165553.59749999997,paid
94,4,moving_avg_4w,245840.96,165553.59749999997,paid
94,1,holt_damped,53691.69,174936.59811178313,paid
94,2,holt_damped,92188.55,176097.8502150261,paid
94,3,holt_damped,104401.98,177247.4897972366,paid
94,4,holt_damped,245840.96,178385.63298362502,paid
94,1,ridge_fourier,53691.69,138034.42402103147,paid
94,2,ridge_fourier,92188.55,154639.338094831,paid
94,3,ridge_fourier,104401.98,167056.89272347785,paid
94,4,ridge_fourier,245840.96,191469.97884861543,paid
94,1,hgb_lags,53691.69,145137.08341121394,paid
94,2,hgb_lags,92188.55,147449.7123568163,paid
94,3,hgb_lags,104401.98,177687.6192228947,paid
94,4,hgb_lags,245840.96,204585.51549750587,paid
94,1,ensemble,53691.69,87023.80201051573,paid
94,2,ensemble,92188.55,154890.8340474155,paid
94,3,ensemble,104401.98,184860.10136173893,paid
94,4,ensemble,245840.96,243314.37442430772,paid
95,1,naive,92188.55,53691.69,paid
95,2,naive,104401.98,53691.69,paid
95,3,naive,245840.96,53691.69,paid
95,4,naive,251732.8,53691.69,paid
95,1,seasonal_naive,92188.55,155142.33,paid
95,2,seasonal_naive,104401.98,202663.31,paid
95,3,seasonal_naive,245840.96,295158.77,paid
95,4,seasonal_naive,251732.8,243731.16999999998,paid
95,1,moving_avg_4w,92188.55,151337.7475,paid
95,2,moving_avg_4w,104401.98,151337.7475,paid
95,3,moving_avg_4w,245840.96,151337.7475,paid
