series,model,MAE,RMSE,MASE,WAPE,sMAPE,MAPE,Bias,Bias_pct,MAE_h1,MAE_h2,MAE_h3,MAE_h4,PI90_coverage,PI_median_width
paid,ensemble,38107.80041026437,51001.24100380672,0.4799846412456637,0.2355550651285432,0.2576618825143511,0.2912742999254346,2001.7452273251065,0.012373351973007379,48547.5725820004,34805.387301506555,34111.56607258509,34966.67568496541,0.8541666666666666,139281.92722256156
paid,seasonal_naive,42319.594999999994,55149.10843154859,0.5330340614008654,0.26158935569929986,0.2913496065573086,0.30693991211771826,4388.6733333333295,0.027127627985129927,51157.015833333346,37962.806666666664,38233.45333333334,41925.10416666667,,
paid,hgb_lags,49980.520663166426,62042.95705376558,0.6295268165968384,0.3089436984875033,0.3243707965612552,0.37682255532471576,-569.9894826820746,-0.003523265795199154,59364.21445175988,41443.4254938598,49190.30153616669,49924.14117087934,,
paid,ridge_fourier,53496.396104554304,64936.046409046496,0.6738108265431183,0.33067631647289863,0.3503554174642988,0.4159395733379873,-385.1828786831168,-0.00238092403911517,63388.96957539904,48830.975456616135,49119.56885714677,52646.070529055294,,
paid,holt_damped,56800.34873070646,72134.82076366001,0.7154255746756073,0.351098979750658,0.3647619854827269,0.4745664845121429,589.2148570464487,0.0036421032579171805,67942.61551637082,52548.37499231661,55301.19353041507,51409.21088372336,,
paid,moving_avg_4w,66155.28593750001,84156.28826539702,0.8332551563029181,0.40892448579655793,0.42022906757153056,0.5481928918451426,-772.0610416666659,-0.004772327108756912,74115.47000000002,62174.691249999996,63919.25541666665,64411.72708333334,,
paid,naive,92210.66395833333,109571.66317114707,1.1614341941169526,0.5699801279635373,0.5578866010882705,0.6836734946594131,12006.868541666669,0.07421784177709584,84849.95416666666,94027.9275,101611.77749999998,88352.99666666666,,
claims,ensemble,9.061684759821176,10.800197191914384,0.7302456583006076,0.09048489046628176,0.09165267659171501,0.09248519331336917,-0.7491775052749157,-0.007480865457290608,8.421402082086438,8.99864184559896,9.00853764168112,9.81815746991819,0.8541666666666666,36.39662709990891
claims,ridge_fourier,9.557172119519526,11.507565881364593,0.7701750425986432,0.09543254872829982,0.09611471190527776,0.09784006794718984,0.10581165611683592,0.0010565757215743965,8.982278325689718,9.55374241403834,9.771172865517688,9.92149487283236,,
claims,seasonal_naive,9.9375,12.485825296444498,0.8008241758241759,0.09923028916163927,0.10203723557022853,0.10138761594818661,-1.6041666666666667,-0.016018306636155607,9.333333333333334,9.916666666666666,9.583333333333334,10.916666666666666,,
claims,naive,10.5625,13.037605864063641,0.8511904761904763,0.10547118785105056,0.10768834796696607,0.10400218091985895,-4.645833333333333,-0.046390680257957145,9.166666666666666,10.666666666666666,10.75,11.666666666666666,,
claims,holt_damped,10.759983190292644,13.039397478334354,0.8671048724777956,0.10744314398461555,0.10964420729954101,0.10383037497495706,-8.058436165800282,-0.08046701392935585,8.282394475093094,10.567962689110619,11.858888142328405,12.33068745463846,,
claims,moving_avg_4w,10.90625,13.153738378625802,0.8788919413919415,0.10890368213022675,0.11102690883908047,0.10565978695451672,-7.5625,-0.07551487414187644,8.375,10.916666666666666,12.125,12.208333333333334,,
claims,hgb_lags,11.611322626991347,13.758695297396377,0.9357109809297057,0.11594414106419486,0.11704340991709257,0.11800716906121951,0.036411091216177326,0.0003635806903217207,10.160170835950387,10.879328142813888,11.417241238113817,13.988550291087298,,
